Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6, C8",0603,4,1u,
C10,0603,1,0.1u,
"C4, C7",0805,2,10u,
J1,Untitled,1,Micro_SD_Card_Det1,
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J5,PinHeader_1x06_P2.54mm_Vertical,1,Conn_02x03_Top_Bottom,
LS1,PinHeader_1x02_P2.54mm_Vertical,1,Speaker,
"R1, R11, R13, R14, R16, R17, R21, R5, R6, R7, R8",0603,11,10k,
"R10, R9",0603,2,5.1k,
"R12, R20",0603,2,27,
R15,0603,1,100k,
SW1,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,SW_Push,
"SW2, SW3",SW_SPST_TS-1088-xR020,2,SW_Push,
SW4,RotaryEncoder_Bourns_Horizontal_PEC12R-2x17F-Sxxxx,1,RotaryEncoder_Switch,
U2,SOT-23-5,1,AP2112K-3.3,
U3,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
U7,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1,
