Designator,Mid X,Mid Y,Rotation,Layer
BZ1,150.495,-91.0,90.0,top
C1,163.95,-88.575,90.0,top
C10,152.3,-77.4375,0.0,top
C11,130.7,-75.525,90.0,top
C12,164.0,-91.575,270.0,top
C13,167.125,-83.9,0.0,top
C14,167.075,-78.75,0.0,top
C2,164.875,-84.6,90.0,top
C3,159.0125,-85.6,90.0,top
C4,157.5125,-85.6,90.0,top
C5,163.2125,-85.6,270.0,top
C6,162.55,-77.15,180.0,top
C7,157.875,-77.15,0.0,top
C8,161.7125,-85.6,90.0,top
D1,127.1,-93.35,90.0,top
D2,167.425,-93.35,90.0,top
J1,163.6,-70.225,270.0,top
J2,160.155,-94.35,270.0,top
J3,153.01,-70.5,180.0,top
J4,139.8325,-93.225,0.0,top
Q1,166.825,-88.9625,90.0,top
Q2,127.7,-88.9625,90.0,top
Q3,151.4,-87.1875,270.0,top
R1,165.525,-91.55,90.0,top
R10,142.5,-87.7,0.0,top
R2,129.0,-91.55,90.0,top
R3,131.6,-86.5,90.0,top
R4,133.1,-86.5,270.0,top
R5,152.2,-79.9125,90.0,top
R6,126.7,-78.65,270.0,top
R7,155.0,-88.95,90.0,top
R9,137.6125,-87.7,180.0,top
SW1,128.35,-71.71,90.0,top
SW2,149.4,-81.5,90.0,top
SW3,129.45,-81.6,90.0,top
U1,139.45,-74.25,0.0,top
U2,159.5,-89.785,270.0,top
U3,166.3875,-81.4,180.0,top
U5,160.975,-81.0,90.0,top
