Designator,Mid X,Mid Y,Rotation,Layer
BZ1,161.6,-61.405,180.0,top
C1,147.47,-47.425,270.0,top
C10,122.14,-59.93,90.0,top
C11,153.945,-42.3,0.0,top
C12,148.97,-47.425,270.0,top
C13,158.8,-50.175,270.0,top
C15,158.8,-53.8875,180.0,top
C16,162.8,-46.925,90.0,top
C17,152.85,-52.225,0.0,top
C2,147.475,-56.575,90.0,top
C3,141.62,-40.625,90.0,top
C4,143.12,-40.625,90.0,top
C5,142.745,-44.65,180.0,top
C6,152.37,-39.625,90.0,top
C7,153.87,-39.625,90.0,top
C8,142.745,-43.15,0.0,top
C9,161.3,-44.225,90.0,top
D1,121.1375,-27.575,180.0,top
D2,143.4375,-27.625,180.0,top
D3,147.35,-63.1375,270.0,top
D4,144.35,-63.0875,270.0,top
D5,120.4,-63.2375,270.0,top
D6,141.35,-63.0875,270.0,top
J1,161.3,-33.325,270.0,top
J2,163.5,-53.755,180.0,top
J3,150.725,-31.9275,180.0,top
J4,131.68,-62.56,0.0,top
L1,157.2,-47.2125,270.0,top
Q1,142.5,-31.0625,270.0,top
Q2,120.2,-31.0125,270.0,top
Q3,118.84,-40.195,0.0,top
Q4,153.9,-60.7125,90.0,top
R1,141.2,-28.5125,270.0,top
R10,134.98,-57.07,0.0,top
R11,145.85,-62.9375,270.0,top
R12,130.92,-55.9275,90.0,top
R13,142.85,-62.9375,90.0,top
R14,121.89,-63.0625,90.0,top
R15,121.5,-40.2,270.0,top
R16,140.05,-31.8125,270.0,top
R17,117.75,-31.7875,90.0,top
R18,122.525,-47.0625,90.0,top
R19,126.3125,-48.9,180.0,top
R2,118.9,-28.4625,270.0,top
R20,132.47,-55.9275,90.0,top
R21,145.9625,-54.35,180.0,top
R22,154.175,-53.725,180.0,top
R23,149.125,-51.2875,270.0,top
R24,156.35,-59.9375,270.0,top
R3,158.05,-56.3375,90.0,top
R4,159.55,-56.35,90.0,top
R5,124.6025,-64.33,180.0,top
R6,138.69,-64.38,180.0,top
R7,150.625,-51.2875,270.0,top
R8,148.85,-62.95,270.0,top
R9,128.39,-57.05,180.0,top
SW1,118.35,-50.24,270.0,top
SW2,124.59,-60.83,270.0,top
SW3,138.69,-60.88,270.0,top
U1,131.3,-39.95,0.0,top
U3,150.375,-55.1125,0.0,top
U4,160.0875,-47.2,0.0,top
U5,148.12,-41.8625,0.0,top
